date,peggedUSD,peggedEUR,peggedVAR,peggedJPY,peggedCNY,peggedUAH,peggedARS,peggedGBP,peggedCAD,peggedCHF,peggedAUD,peggedREAL
2021-04-09,68995990679,79991070,33944414,,,,,,,,,
2021-04-10,69464627880,80890839,34545293,,,,,,,,,
2021-04-11,70271980651,80746086,34199276,,,,,,,,,
2021-04-12,70288183799,79976232,33595258,,,,,,,,,
2021-04-13,70281115052,79544095,34912670,,,,,,,,,
2021-04-14,71553679635,79482627,34346390,,,,,,,,,
2021-04-15,72442292435,80271595,34005785,,,,,,,,,
2021-04-16,73681978533,80650972,31587919,,,,,,,,,
2021-04-17,75297653233,80716071,32503159,,,,,,,,,
2021-04-18,76789308891,80612672,31920582,,,,,,,,,
2021-04-19,78448408212,80279983,31306394,,,,,,,,,
2021-04-20,78459116212,80425806,28426924,,,,,,,,,
2021-04-21,79819365520,80294735,30541056,,,,,,,,,
2021-04-22,80733173607,81984941,30856017,,,,,,,,,
2021-04-23,81304751188,84354108,27522477,,,,,,,,,
2021-04-24,81102542066,84083823,28457691,,,,,,,,,
2021-04-25,81425418634,84072001,28121920,,,,,,,,,
2021-04-26,82648675741,87185942,28650965,,,,,,,,,
2021-04-27,82805045435,93182434,28916890,,,,,,,,,
2021-04-28,83399606378,106280891,29788341,,,,,,,,,
2021-04-29,84040549029,106626916,29703578,,,,,,,,,
2021-04-30,84449980452,110131927,30090822,,,,,,,,,
2021-05-01,84793932781,121724970,29703049,,,,,,,,,
2021-05-02,85566636357,122827812,28992522,,,,,,,,,
2021-05-03,86160627407,128323654,29383669,,,,,,,,,
2021-05-04,86598567374,131176319,30146788,,,,,,,,,
2021-05-05,86946629537,134241331,26319537,,,,,,,,,
2021-05-06,88366833893,136055277,26331714,,,,,,,,,
2021-05-07,89507805413,144630486,25985214,,,,,,,,,
2021-05-08,90805250843,144354914,26129693,,,,,,,,,
2021-05-09,91798673348,144817903,29338013,,,,,,,,,
2021-05-10,92550893210,144743437,26552890,,,,,,,,,
2021-05-11,93020186727,145044305,26533436,,,,,,,,,
2021-05-12,93919692591,146477715,27004729,,,,,,,,,
2021-05-13,94927209001,150457318,24751451,,,,,,,,,
2021-05-14,95185432740,155510627,24619644,,,,,,,,,
2021-05-15,95743089244,157709055,25050420,,,,,,,,,
2021-05-16,96258450817,157693142,26950706,,,,,,,,,
2021-05-17,96754657298,158107435,25658984,,,,,,,,,
2021-05-18,96915627512,157704410,25840377,,,,,,,,,
2021-05-19,96717443861,157066842,25517039,,,,,,,,,
2021-05-20,95693536333,150490798,18125476,,,,,,,,,
2021-05-21,97047876290,149566409,17878000,,,,,,,,,
2021-05-22,98717112209,149097134,16298528,,,,,,,,,
2021-05-23,100301396590,149047972,15659258,,,,,,,,,
2021-05-24,100500442560,140459227,14486165,,,,,,,,,
2021-05-25,101088735711,137395918,15827458,,,,,,,,,
2021-05-26,101848266206,130510140,16241001,,,,,,,,,
2021-05-27,103622379061,130816246,17340571,,,,,,,,,
2021-05-28,103972249044,131910243,16186413,,,,,,,,,
2021-05-29,104791920446,132771743,16155726,,,,,,,,,
2021-05-30,104653380818,132726692,15589840,,,,,,,,,
2021-05-31,105057329098,138550206,15504063,,,,,,,,,
2021-06-01,105463230267,153233773,15932396,,,,,,,,,
2021-06-02,105973112799,161382704,15718787,,,,,,,,,
2021-06-03,106002330067,172762940,15690230,,,,,,,,,
2021-06-04,106501386473,187479561,15741707,,,,,,,,,
2021-06-05,107115526222,190960538,15719687,,,,,,,,,
2021-06-06,107392915851,190962150,15621333,,,,,,,,,
2021-06-07,108011045825,194256899,15690722,,,,,,,,,
2021-06-08,107847944974,207308994,15640829,,,,,,,,,
2021-06-09,108259850541,209695764,15371735,,,,,,,,,
2021-06-10,108770561328,210999045,15452256,,,,,,,,,
2021-06-11,108402220016,218180158,15086823,,,,,,,,,
2021-06-12,108297743888,224165367,15194639,,,,,,,,,
2021-06-13,108718978596,224174175,14995008,,,,,,,,,
2021-06-14,108576929458,229613247,14762275,,,,,,,,,
2021-06-15,108741794283,233839931,15157694,,,,,,,,,
2021-06-16,108959928872,249124934,15242019,,,,,,,,,
